Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"00322099";"SAREB";"Barcelona";"Santa";"LLUIS COMPANYS";"63";"8130";"54885";"2001##00322099";"Piso";"96500";"0";
"00339854";"SAREB";"Burgos";"Burgos";"CALLE JUAN RAMON JIMENEZ";"2";"9007";"109671";"2001##00339854";"Local";"140700";"0";
"00300101";"SAREB";"Zaragoza";"Puebla";"Mayor";"41";"50171";"48074";"2001##00300101";"Garaje";"6200";"0";
"00320014";"SAREB";"Zaragoza";"Zaragoza";"DAROCA";"56";"50017";"53819";"2001##00320014";"Piso";"70900";"0";
"00320563";"SAREB";"Barcelona";"Terrassa";"GUADALHORCE";"6";"8223";"50943";"2001##00320563";"Piso";"85700";"0";
"00317070";"SAREB";"Tarragona";"Mora";"DR. BORRAS";"19";"43740";"74866";"2001##00317070";"Garaje";"7400";"0";
"00339502";"SAREB";"Tarragona";"Mora";"CL GARDENIA";"2";"43740";"108078";"2001##00339502";"Garaje";"8600";"0";
"00329590";"SAREB";"Alicante";"Pilar";"VALENCIA";"8";"3190";"62268";"2001##00329590";"Piso";"65800";"0";
"00317763";"SAREB";"Barcelona";"Vallirana";"MAJOR";"327";"8759";"53806";"2001##00317763";"Piso";"118400";"0";
"00339499";"SAREB";"Tarragona";"Mora";"CL GARDENIA";"2";"43740";"108073";"2001##00339499";"Garaje";"9500";"0";
"00317596";"SAREB";"Málaga";"Ojen";"CLARA CAMPOAMOR";"1";"29610";"55547";"2001##00317596";"Piso";"123100";"0";
"00317445";"SAREB";"Madrid";"Campo";"FUENTE";"18";"28510";"50828";"2001##00317445";"Piso";"114800";"0";
"00316488";"SAREB";"Barcelona";"Terrassa";"PERDIU 6-";"8";"8224";"55043";"2001##00316488";"Casa";"321300";"0";
"00318939";"SAREB";"Barcelona";"Rubi";"LUMIERE";"5";"8191";"51491";"2001##00318939";"Piso";"101900";"0";
"00316412";"SAREB";"Barcelona";"Canyelles";"SERRA DEL CAVALL";"5";"8811";"55072";"2001##00316412";"Casa";"314500";"0";
"00316817";"SAREB";"Madrid";"Madrid";"SOLANA DE OPAÑEL";"2";"28019";"54280";"2001##00316817";"Local";"174100";"0";
"00332684";"SAREB";"Tarragona";"La";"TRES CALES";"399";"43860";"63065";"2001##00332684";"Chalet";"142800";"0";
"00331830";"SAREB";"Tarragona";"Valls";"GONZÁLEZ ALBA";"5-7";"43800";"63066";"2001##00331830";"Casa";"248200";"0";
"00331796";"SAREB";"Barcelona";"Badalona";"PAU PIFERRER";"114";"8914";"63070";"2001##00331796";"Local";"168400";"0";
"00329790";"SAREB";"Tarragona";"El";"MARIE CURIE";"32";"43700";"67286";"2001##00329790";"Piso";"89000";"0";
"00328065";"SAREB";"Murcia";"Murcia";"Corvera Golf &amp;amp; Country Club, Manzana 44";"242";"30153";"63055";"2001##00328065";"Piso";"143200";"0";
"00322425";"SAREB";"Barcelona";"Cubelles";"PRIORAT DE SANT PERE";"27";"8880";"50442";"2001##00322425";"Piso";"137800";"0";
"00322437";"SAREB";"Tarragona";"Amposta";"DE LA RAPITA";"111";"43870";"50909";"2001##00322437";"Piso";"73300";"0";
"00335529";"SAREB";"Baleares";"Inca";"FRA JUNIPER SERRA";"83";"7300";"63039";"2001##00335529";"Piso";"155900";"0";
"00335329";"SAREB";"Barcelona";"Castellar";"LLEIDA";"2";"8211";"67280";"2001##00335329";"Piso";"115700";"0";
"00334367";"SAREB";"Girona";"Llagostera";"HORTENSIA";"B-19";"17240";"67279";"2001##00334367";"Piso";"168000";"0";
"00333606";"SAREB";"Baleares";"Manacor";"CALA DOMINGOS (CALAS DE MALLORCA)";"0167";"7689";"63048";"2001##00333606";"Piso";"138200";"0";
"00332668";"SAREB";"Girona";"Girona";"Güell";"0154";"17005";"67278";"2001##00332668";"Piso";"84100";"0";
"00322197";"SAREB";"Lleida";"Lleida";"BLOCS GRUP AVENIDA DE MADRID";"5";"25002";"51029";"2001##00322197";"Piso";"63700";"0";
"00334520";"SAREB";"Barcelona";"Puigdalber";"ONZE DE SETEMBRE";"18";"8797";"67284";"2001##00334520";"Casa";"191500";"0";
"00335477";"SAREB";"Madrid";"Madrid";"REAL MADRID";"36";"28025";"67283";"2001##00335477";"Piso";"110100";"0";
"00322142";"SAREB";"Barcelona";"Premia";"JOAN PRIM";"0";"8330";"54862";"2001##00322142";"Piso";"94800";"0";
"00334935";"SAREB";"Girona";"Cassa";"MOLI";"31";"17244";"67281";"2001##00334935";"Piso";"84100";"0";
"00329071";"SAREB";"Castellón";"Vinaros";"BARCELONA";"3";"12500";"67274";"2001##00329071";"Piso";"81900";"0";
"00329971";"SAREB";"Baleares";"Palma";"DESP.25 CAMI DELS REIS SOLAR 3 3º";"0003";"7011";"63101";"2001##00329971";"Oficina";"157200";"0";
"00330961";"SAREB";"Girona";"Salt";"Angel Guimera";"111";"17190";"67276";"2001##00330961";"Piso";"80600";"0";
"00333011";"SAREB";"Castellón";"San";"Castellon";"1";"12320";"63096";"2001##00333011";"Piso";"116900";"0";
"00330427";"SAREB";"Baleares";"Felanitx";"MOSSEN BARTOMEU CALDENTEY";"47";"7200";"63086";"2001##00330427";"Piso";"147300";"0";
"00327272";"SAREB";"Barcelona";"Rubi";"BAILEN";"10";"8191";"67269";"2001##00327272";"Piso";"114700";"0";
"00319694";"SAREB";"Barcelona";"Vic";"FRANCESC MACIA";"3";"8500";"53863";"2001##00319694";"Piso";"71200";"0";
"00316773";"SAREB";"Barcelona";"Barcelona";"BENAVENT";"14";"8028";"52210";"2001##00316773";"Local";"147900";"0";
"00328547";"SAREB";"Girona";"Arbucies";"Francesc Camprodon";"72";"17401";"67271";"2001##00328547";"Piso";"76200";"0";
"00329151";"SAREB";"Girona";"Salt";"ANGEL GUIMERA";"97";"17190";"67273";"2001##00329151";"Piso";"80400";"0";
"00334291";"SAREB";"Girona";"Girona";"Mare de Déu de la Salut";"35";"17006";"62970";"2001##00334291";"Piso";"87300";"0";
"00335526";"SAREB";"Barcelona";"Vilanova";"Bruc";"6";"8800";"62983";"2001##00335526";"Piso";"96300";"0";
"00332656";"SAREB";"Barcelona";"Sant";"EDUARDO PEÑA";"139";"8295";"62985";"2001##00332656";"Piso";"81000";"0";
"00339504";"SAREB";"Tarragona";"Mora";"CL GARDENIA";"2";"43740";"108079";"2001##00339504";"Garaje";"13800";"0";
"00334854";"SAREB";"Girona";"Begur";"JOANOT MARTORELL";"0014";"17255";"62988";"2001##00334854";"Casa";"459800";"0";
"00334669";"SAREB";"Murcia";"Alhama";"Los Almendros";"6";"30840";"62961";"2001##00334669";"Piso";"83200";"0";
"00329933";"SAREB";"Baleares";"Santa";"ARGENTINA";"99-101";"7459";"63017";"2001##00329933";"Chalet";"342300";"0";
"00334317";"SAREB";"Murcia";"Torre";"Town Center";"1";"30700";"63010";"2001##00334317";"Piso";"109600";"0";
"00334901";"SAREB";"Baleares";"Muro";"COMUNES OLIVER";"11";"7440";"63011";"2001##00334901";"Casa";"181700";"0";
"00333804";"SAREB";"Tarragona";"Sant";"ALBA";"0001";"43540";"85957";"2001##00333804";"Piso";"95700";"0";
"00301584";"SAREB";"Zaragoza";"Zaragoza";"Boggiero";"2-4-6-8";"50003";"70632";"2001##00301584";"Piso";"0";"580";
"00328876";"SAREB";"Murcia";"Librilla";"Felipe II";"10";"30892";"63435";"2001##00328876";"Local";"74200";"0";
"00322632";"SAREB";"Barcelona";"Manresa";"BRUC";"42";"8240";"55410";"2001##00322632";"Piso";"42100";"0";
"00322631";"SAREB";"Murcia";"Murcia";"SAN ANTONIO";"1";"30579";"55200";"2001##00322631";"Piso";"51800";"0";
"00318487";"SAREB";"Barcelona";"Vic";"GENERALITAT";"44";"8500";"51979";"2001##00318487";"Piso";"88200";"0";
"00318230";"SAREB";"Madrid";"Madrid";"CASTRO DE ORO";"45";"28019";"53938";"2001##00318230";"Piso";"88400";"0";
"00318772";"SAREB";"Barcelona";"Badalona";"FLORIDABLANCA";"25";"8914";"52478";"2001##00318772";"Piso";"294000";"0";
"00341820";"SAREB";"Baleares";"Ciutadella";"CL CAMI DE MAO";"134";"7760";"109105";"2001##00341820";"Chalet";"615600";"0";
"00322310";"SAREB";"Tarragona";"Reus";"JOAN MIRO";"33";"43201";"97892";"2001##00322310";"Piso";"53400";"0";
"00319933";"SAREB";"Barcelona";"Vic";"PIUS XII";"4";"8500";"93572";"2001##00319933";"Piso";"80000";"0";
"00322610";"SAREB";"Tarragona";"Mora";"TARRAGONA";"21";"43740";"81677";"2001##00322610";"Piso";"86700";"0";
"00322652";"SAREB";"Tarragona";"El";"MESTRE ANTIC";"1";"43700";"74307";"2001##00322652";"Piso";"64100";"0";
"00321222";"SAREB";"Barcelona";"Torello";"ROCAPREVERA";"27";"8570";"87833";"2001##00321222";"Casa";"117200";"0";
"00316933";"SAREB";"Zaragoza";"Zaragoza";"Crta. LOGROÑO A NAVARRA. P.I EUROPA";"KM";"50011";"53092";"2001##00316933";"Nave";"162200";"0";
"00316833";"SAREB";"Barcelona";"Barcelona";"GRAN VIA DE LES CORTS CATALANES";"204";"8004";"53098";"2001##00316833";"Local";"288600";"0";
"00316762";"SAREB";"Madrid";"Valdemoro";"JUAN DE LA CIERVA";"8";"28341";"56537";"2001##00316762";"Nave";"145500";"0";
"00316800";"SAREB";"Barcelona";"Pineda";"JOSEP MARIA DE SEGARRA";"14";"8397";"91078";"2001##00316800";"Local";"82600";"0";
"00316902";"SAREB";"Zaragoza";"Zuera";"EL CAMPILLO";"14";"50800";"56468";"2001##00316902";"Nave";"134800";"0";
"00316775";"SAREB";"Madrid";"Madrid";"SANTUARIO DE VALVERDE";"1";"28049";"50382";"2001##00316775";"Local";"432900";"0";
"00322340";"SAREB";"Tarragona";"Els";"VALL D&amp;apos;ARAN";"1";"43151";"50979";"2001##00322340";"Piso";"66200";"0";
"00320930";"SAREB";"Tarragona";"Reus";"MEDITERRANI";"5";"43205";"51940";"2001##00320930";"Piso";"74800";"0";
"00318613";"SAREB";"Murcia";"Murcia";"CICLISTA ALEJANDRO VALVERDE";"64";"30160";"51583";"2001##00318613";"Piso";"81800";"0";
"00319511";"SAREB";"Lleida";"Lleida";"NORD";"33";"25007";"52254";"2001##00319511";"Piso";"85000";"0";
"00317731";"SAREB";"Barcelona";"Badalona";"SATURN";"46";"8914";"50713";"2001##00317731";"Piso";"115600";"0";
"00319039";"SAREB";"Madrid";"Madrid";"LA DEL MANOJO DE ROSAS";"21";"28041";"53872";"2001##00319039";"Piso";"84000";"0";
"00318514";"SAREB";"Barcelona";"Sabadell";"COLLSEROLA";"3";"8207";"52947";"2001##00318514";"Piso";"129700";"0";
"00321291";"SAREB";"Valencia";"Gandia";"DE BENIOPA";"43";"46701";"52674";"2001##00321291";"Piso";"52700";"0";
"00335583";"SAREB";"Girona";"Salt";"TEIXIDORES";"4";"17190";"88083";"2001##00335583";"Piso";"79100";"0";
"00319088";"SAREB";"Barcelona";"Monistrol";"PUJADA DE L&amp;apos;ESTACIO";"9";"8691";"50674";"2001##00319088";"Piso";"200200";"0";
"00316247";"SAREB";"Girona";"Caldes";"CATALUNYA";"38";"17455";"53683";"2001##00316247";"Casa";"150700";"0";
"00316916";"SAREB";"Córdoba";"Cordoba";"AEROPUERTO, KM 7";"0";"14005";"88882";"2001##00316916";"Nave";"75900";"0";
"00316414";"SAREB";"Barcelona";"Caldes";"PEDRERA";"13";"8140";"56529";"2001##00316414";"Casa";"482300";"0";
"00331738";"SAREB";"Castellón";"Almazora/Almassora";"Rosa Marti";"76";"12550";"88202";"2001##00331738";"Local";"263300";"0";
"00317669";"SAREB";"Barcelona";"Badalona";"INDEPENDENCIA";"133";"8915";"56364";"2001##00317669";"Piso";"131500";"0";
"00320323";"SAREB";"Barcelona";"Santa";"TERRASSA";"22";"8923";"55527";"2001##00320323";"Piso";"95200";"0";
"00320236";"SAREB";"Castellón";"Onda";"CATALUNYA";"43";"12200";"55738";"2001##00320236";"Piso";"74500";"0";
"00316667";"SAREB";"Barcelona";"Torrelles";"TULIPAN, PARC. 85, URB. LA PLANA DE LES TORRES";"9";"8737";"56007";"2001##00316667";"Casa";"152600";"0";
"00335057";"SAREB";"Barcelona";"Santa";"LISZT";"12";"8923";"83267";"2001##00335057";"Piso";"132100";"0";
"00321893";"SAREB";"Madrid";"Madrid";"GRAFITO";"38";"28021";"51065";"2001##00321893";"Piso";"80100";"0";
"00316374";"SAREB";"Tarragona";"Tortosa";"COSTA DEL CASTELL";"20";"43500";"55765";"2001##00316374";"Casa";"101000";"0";
"00300144";"SAREB";"Madrid";"Robledo";"Diego de Velázquez";"4";"28294";"48176";"2001##00300144";"Casa";"103500";"0";
"00334934";"SAREB";"Murcia";"Lorca";"DE LOS ANGELES";"35";"30800";"61332";"2001##00334934";"Piso";"100500";"0";
"00319263";"SAREB";"Barcelona";"Canovelles";"SANT EUDALD";"50";"8420";"56674";"2001##00319263";"Piso";"97200";"0";
"00321676";"SAREB";"Madrid";"Madrid";"MANUEL MAROTO";"19";"28053";"55540";"2001##00321676";"Piso";"80600";"0";
"00333494";"SAREB";"Barcelona";"Gava";"PAU CLARÍS";"0110";"8850";"70720";"2001##00333494";"Piso";"214200";"0";
"00322558";"SAREB";"Barcelona";"Terrassa";"ANGEL RODAMILANS";"223";"8222";"71146";"2001##00322558";"Piso";"76600";"0";
"00320926";"SAREB";"Barcelona";"Rubi";"MIQUEL SERVET";"20";"8191";"55327";"2001##00320926";"Piso";"115100";"0";
"00316786";"SAREB";"Barcelona";"Badalona";"VENTS";"9";"8917";"56157";"2001##00316786";"Oficina";"0";"1750";
"00316862";"SAREB";"Barcelona";"Sant";"CERDANYA";"5";"8830";"84485";"2001##00316862";"Local";"105600";"0";
"00316768";"SAREB";"Alicante";"Benidorm";"MADRID";"32";"3503";"88734";"2001##00316768";"Local";"0";"624";
"00316189";"SAREB";"Barcelona";"Piera";"MONTJUIC";"27";"8784";"86032";"2001##00316189";"Casa";"111900";"0";
"00316729";"SAREB";"Barcelona";"Vallirana";"MARAGALL";"3";"8759";"82242";"2001##00316729";"Casa";"319900";"0";
"00321876";"SAREB";"Barcelona";"Esparreguera";"PAU FONT";"1";"8292";"53190";"2001##00321876";"Piso";"113900";"0";
"00321828";"SAREB";"Barcelona";"Torello";"SANT MIQUEL";"5";"8570";"54612";"2001##00321828";"Piso";"95200";"0";
"00321824";"SAREB";"Barcelona";"Igualada";"SANT CARLES";"90";"8700";"56650";"2001##00321824";"Piso";"76500";"0";
"00320437";"SAREB";"Madrid";"Madrid";"CARLOS DOMINGO";"11";"28047";"53001";"2001##00320437";"Piso";"84100";"0";
"00321396";"SAREB";"Valencia";"Rafelbuñol/Rafelbunyol";"VALLANT";"32";"46138";"52618";"2001##00321396";"Piso";"82200";"0";
"00317660";"SAREB";"Barcelona";"Mollet";"MONTURIOL";"38";"8100";"51775";"2001##00317660";"Piso";"117700";"0";
"00317001";"SAREB";"Lleida";"Cervera";"PARE FERRUSSOLA";"28";"25200";"74874";"2001##00317001";"Garaje";"6300";"0";
"00317015";"SAREB";"Huelva";"Huelva";"PLAN PARCIAL 4 VISTALEGRE-UNIVERSIDAD";"5";"21007";"86186";"2001##00317015";"Garaje";"14400";"0";
"00316538";"SAREB";"Barcelona";"Cardona";"SAN MIGUEL";"33";"8261";"56130";"2001##00316538";"Casa";"135600";"0";
"00316761";"SAREB";"Tarragona";"Constanti";"GRECIA";"14";"43120";"52264";"2001##00316761";"Nave";"104300";"0";
"00318666";"SAREB";"Barcelona";"Vilafranca";"RAMON FREIXAS";"57";"8720";"53472";"2001##00318666";"Piso";"92100";"0";
"00320006";"SAREB";"Barcelona";"Sabadell";"ESTEVE PALUZIE";"12";"8204";"50671";"2001##00320006";"Piso";"86700";"0";
"00331281";"SAREB";"Girona";"Salt";"Angel Guimera";"83";"17190";"83938";"2001##00331281";"Piso";"81200";"0";
"00316829";"SAREB";"Barcelona";"Premia";"CAMI RAL";"105";"8330";"88165";"2001##00316829";"Local";"178100";"0";
"00321044";"SAREB";"Barcelona";"Sabadell";"MULHACEN";"2";"8207";"51842";"2001##00321044";"Piso";"164500";"0";
"00321810";"SAREB";"Murcia";"Molina";"TRIUNFO";"94";"30500";"56334";"2001##00321810";"Piso";"60400";"0";
"00321801";"SAREB";"Barcelona";"Cubelles";"RIU FRAMCOLI";"0";"8880";"51765";"2001##00321801";"Piso";"178300";"0";
"00300893";"SAREB";"Lleida";"Lleida";"CORREGIDOR ESCOFET";"62";"25005";"94884";"2001##00300893";"Local";"138700";"0";
"00334403";"SAREB";"Barcelona";"Terrassa";"CARDENAL CISNEROS";"8";"8225";"108175";"2001##00334403";"Piso";"83700";"0";
"00317315";"SAREB";"Barcelona";"Vic";"GENERALITAT";"44";"8500";"85449";"2001##00317315";"Piso";"89300";"0";
"00319078";"SAREB";"Barcelona";"Sabadell";"ANIBAL";"11";"8208";"53612";"2001##00319078";"Piso";"73500";"0";
"00321977";"SAREB";"Barcelona";"Terrassa";"GLORIES CATALANES";"40";"8223";"56144";"2001##00321977";"Piso";"159900";"0";
"00316867";"SAREB";"Huelva";"Punta";"ORINQUE";"3";"21100";"93626";"2001##00316867";"Local";"99900";"0";
"00316497";"SAREB";"Murcia";"Murcia";"VIAL UNO";"0";"30155";"103777";"2001##00316497";"Casa";"174900";"0";
"00328461";"SAREB";"Zaragoza";"La";"Avda. Río Ebro";"50";"50196";"87057";"2001##00328461";"Chalet";"193400";"0";
"00316259";"SAREB";"Guadalajara";"Trijueque";"COLLAILLO";"356";"19192";"55834";"2001##00316259";"Casa";"92300";"0";
"00322559";"SAREB";"Barcelona";"Canet";"SANT MARC";"19";"8360";"50214";"2001##00322559";"Piso";"195500";"0";
"00317858";"SAREB";"Girona";"Platja";"EDUARD TOLRA";"25";"17250";"56884";"2001##00317858";"Piso";"120100";"0";
"00322606";"SAREB";"Madrid";"Fuenlabrada";"PARIS";"4";"28943";"50832";"2001##00322606";"Piso";"96500";"0";
"00327300";"SAREB";"Girona";"Llanca";"Nicolás Salmerón";"0036";"17490";"98780";"2001##00327300";"Piso";"101100";"0";
"00316526";"SAREB";"Tarragona";"Valls";"DELS METGES";"25";"43800";"56623";"2001##00316526";"Casa";"204700";"0";
"00320689";"SAREB";"Barcelona";"Terrassa";"FRANSESC LAYRET";"5";"8224";"52955";"2001##00320689";"Piso";"85000";"0";
"00319996";"SAREB";"Barcelona";"Santa";"CIRCUMVAL·LACIO";"113";"8923";"51264";"2001##00319996";"Piso";"88100";"0";
"00334150";"SAREB";"Lleida";"Tremp";"MONTLLOBAR";"?";"25620";"78641";"2001##00334150";"Garaje";"5400";"0";
"00316230";"SAREB";"Barcelona";"Argentona";"GALLIFA BELLOT";"2";"8310";"51918";"2001##00316230";"Casa";"921900";"0";
"00317365";"SAREB";"Barcelona";"Terrassa";"SANT ANTONI MARIA CLARET -GRUP VALLPARADIS-";"3";"8222";"50570";"2001##00317365";"Piso";"72600";"0";
"00321352";"SAREB";"Barcelona";"Terrassa";"DOCTOR FERRAN";"32";"8226";"53783";"2001##00321352";"Piso";"95600";"0";
"00317946";"SAREB";"Girona";"Salt";"DOCTOR FERRAN";"31";"17190";"119749";"2001##00317946";"Piso";"69100";"0";
"00316728";"SAREB";"Barcelona";"Vallirana";"MARAGALL";"1";"8759";"82247";"2001##00316728";"Casa";"294800";"0";
"00322649";"SAREB";"La";"Lardero";"RIO GUADIANA";"12";"26140";"89142";"2001##00322649";"Piso";"180000";"0";
"00319135";"SAREB";"Barcelona";"Terrassa";"GUADALHORCE";"2";"8223";"53637";"2001##00319135";"Piso";"93900";"0";
"00316911";"SAREB";"Valencia";"L'Alcudia";"LLAURADORS";"0";"46250";"90753";"2001##00316911";"Nave";"376700";"0";
"00320473";"SAREB";"Barcelona";"Badalona";"SANTIAGO";"12";"8918";"53841";"2001##00320473";"Piso";"116300";"0";
"00318901";"SAREB";"Barcelona";"L'Hospitalet";"NORD";"4";"8905";"117837";"2001##00318901";"Piso";"127600";"0";
"00321390";"SAREB";"Valencia";"Valencia";"ESCULTOR PIQUER";"32";"46019";"52087";"2001##00321390";"Piso";"62900";"0";
"00320948";"SAREB";"Barcelona";"Terrassa";"COLOM";"276";"8223";"55208";"2001##00320948";"Piso";"75400";"0";
"00336929";"SAREB";"Alicante";"Algorfa";"CL RAMON Y CAJAL,ESQUINA CL SAN FRANCISC";"7";"3160";"105225";"2001##00336929";"Piso";"73100";"0";
"00319481";"SAREB";"Valencia";"Gandia";"FERROCARRIL D&amp;apos;ALCOI";"118";"46701";"53561";"2001##00319481";"Piso";"64300";"0";
"00318402";"SAREB";"Barcelona";"Sant";"CATALUNYA";"16";"8740";"55448";"2001##00318402";"Piso";"99500";"0";
